 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  01/24/2024 23:16:41                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


282 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000387 0x21EC4050 0x001E58DE 0x21EC4040 0x001E58FE 0x00000000 new[]       N       N    ??(00000)::??
000288 0x1EC14050 0x000A88A0 0x1EC14040 0x000A88C0 0x00000000 new[]       N       N    ??(00000)::??
000010 0x01C149A8 0x00000238 0x01C14998 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000575 0x1CAB4F08 0x000067E8 0x1CAB4EF8 0x00006808 0x00002640 new[]       N       N    ??(00000)::??
000718 0x26585050 0x00170DF8 0x26585040 0x00170E18 0x000A7480 new[]       N       N    ??(00000)::??
000368 0x21D15050 0x001A4BD1 0x21D15040 0x001A4BF1 0x00000000 new[]       N       N    ??(00000)::??
000316 0x211D5050 0x001E58DE 0x211D5040 0x001E58FE 0x00000000 new[]       N       N    ??(00000)::??
000218 0x1D8E5050 0x000D7F40 0x1D8E5040 0x000D7F60 0x000C5F58 new[]       N       N    ??(00000)::??
000173 0x1C305050 0x00137D20 0x1C305040 0x00137D40 0x00000000 new[]       N       N    ??(00000)::??
000024 0x01C15888 0x000001F4 0x01C15878 0x00000214 0x00000000 new[]       N       N    ??(00000)::??
000385 0x11C559B0 0x00000030 0x11C559A0 0x00000050 0x0000000C new         N       N    ??(00000)::??
000219 0x1C975A28 0x00065918 0x1C975A18 0x00065938 0x00023FE0 new[]       N       N    ??(00000)::??
000408 0x11C55AB0 0x00000030 0x11C55AA0 0x00000050 0x00000004 new         N       N    ??(00000)::??
000123 0x11C55B30 0x00000030 0x11C55B20 0x00000050 0x00000004 new         N       N    ??(00000)::??
000194 0x11C55BB0 0x00000030 0x11C55BA0 0x00000050 0x00000004 new         N       N    ??(00000)::??
000268 0x11E15BD8 0x000000D4 0x11E15BC8 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000272 0x11C55C30 0x00000030 0x11C55C20 0x00000050 0x00000000 new         N       N    ??(00000)::??
000312 0x11C55CB0 0x00000030 0x11C55CA0 0x00000050 0x0000000C new         N       N    ??(00000)::??
000200 0x11C55D30 0x00000030 0x11C55D20 0x00000050 0x00000000 new         N       N    ??(00000)::??
000281 0x11E15D50 0x00000008 0x11E15D40 0x00000028 0x00000000 new         N       N    ??(00000)::??
000688 0x11F15D68 0x00000154 0x11F15D58 0x00000174 0x00000018 new         N       N    ??(00000)::??
000549 0x11E15DA8 0x00000008 0x11E15D98 0x00000028 0x00000000 new         N       N    ??(00000)::??
000343 0x11C55DB0 0x00000030 0x11C55DA0 0x00000050 0x00000000 new         N       N    ??(00000)::??
000550 0x11E15E00 0x00000008 0x11E15DF0 0x00000028 0x00000000 new         N       N    ??(00000)::??
000383 0x11C55E30 0x00000030 0x11C55E20 0x00000050 0x0000000C new         N       N    ??(00000)::??
000421 0x11E15E58 0x00000008 0x11E15E48 0x00000028 0x00000000 new         N       N    ??(00000)::??
000471 0x11E15EB0 0x00000008 0x11E15EA0 0x00000028 0x00000000 new         N       N    ??(00000)::??
000696 0x11F15F08 0x000000D4 0x11F15EF8 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000267 0x11E15F08 0x00000008 0x11E15EF8 0x00000028 0x00000000 new         N       N    ??(00000)::??
000528 0x117F5F20 0x00000040 0x117F5F10 0x00000060 0x00000000 new         N       N    ??(00000)::??
000414 0x11C55F30 0x00000030 0x11C55F20 0x00000050 0x00000000 new         N       N    ??(00000)::??
000472 0x11E15F60 0x00000008 0x11E15F50 0x00000028 0x00000000 new         N       N    ??(00000)::??
