 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  01/24/2024 23:04:51                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


192 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000231 0x205D0030 0x00331980 0x205D0020 0x003319A0 0x002ED760 new[]       N       N    ??(00000)::??
000162 0x1C9F0030 0x002A2280 0x1C9F0020 0x002A22A0 0x00269FA0 new[]       N       N    ??(00000)::??
000161 0x12260030 0x000A88A0 0x12260020 0x000A88C0 0x00000000 new[]       N       N    ??(00000)::??
000074 0x0F9D0090 0x00000140 0x0F9D0080 0x00000160 0x00000018 new         N       N    ??(00000)::??
000101 0x10610380 0x00000050 0x10610370 0x00000070 0x0000000C new         N       N    ??(00000)::??
000280 0x0F9D0900 0x00000140 0x0F9D08F0 0x00000160 0x00000018 new         N       N    ??(00000)::??
000315 0x0F9D0A68 0x00000140 0x0F9D0A58 0x00000160 0x00000018 new         N       N    ??(00000)::??
000246 0x0F9D0D38 0x00000140 0x0F9D0D28 0x00000160 0x00000018 new         N       N    ??(00000)::??
000282 0x1F600E18 0x000000D4 0x1F600E08 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000091 0x10990E58 0x00000198 0x10990E48 0x000001B8 0x00000000 new[]       N       N    ??(00000)::??
000178 0x0F9D1008 0x00000140 0x0F9D0FF8 0x00000160 0x00000018 new         N       N    ??(00000)::??
000243 0x20911030 0x001E58DE 0x20911020 0x001E58FE 0x00000000 new[]       N       N    ??(00000)::??
000212 0x0F9D1170 0x00000140 0x0F9D1160 0x00000160 0x00000018 new         N       N    ??(00000)::??
000127 0x15BE1328 0x00035FD0 0x15BE1318 0x00035FF0 0x00000000 new[]       N       N    ??(00000)::??
000297 0x16171728 0x00002E80 0x16171718 0x00002EA0 0x00000000 new[]       N       N    ??(00000)::??
000073 0x10631AE0 0x00000058 0x10631AD0 0x00000078 0x00000000 new         N       N    ??(00000)::??
000367 0x1C142030 0x000FAEC0 0x1C142020 0x000FAEE0 0x00000000 new[]       N       N    ??(00000)::??
000096 0x1A802030 0x0012CCA1 0x1A802020 0x0012CCC1 0x00000000 new[]       N       N    ??(00000)::??
000210 0x106320A8 0x00000038 0x10632098 0x00000058 0x00000000 new         N       N    ??(00000)::??
000327 0x10632108 0x00000038 0x106320F8 0x00000058 0x00000000 new         N       N    ??(00000)::??
000176 0x10632228 0x00000038 0x10632218 0x00000058 0x00000000 new         N       N    ??(00000)::??
000273 0x108023F8 0x00000040 0x108023E8 0x00000060 0x00000000 new         N       N    ??(00000)::??
000260 0x161D24C0 0x00001068 0x161D24B0 0x00001088 0x00000000 new[]       N       N    ??(00000)::??
000087 0x10632528 0x00000038 0x10632518 0x00000058 0x00000000 new         N       N    ??(00000)::??
000102 0x15BA2558 0x00000020 0x15BA2548 0x00000040 0x00000000 new         N       N    ??(00000)::??
000259 0x10632588 0x00000038 0x10632578 0x00000058 0x00000000 new         N       N    ??(00000)::??
