 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  01/24/2024 23:33:36                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


192 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000378 0x10312B00 0x00000030 0x10312AF0 0x00000050 0x00000008 new         N       N    ??(00000)::??
000073 0x10FF2ED8 0x00000058 0x10FF2EC8 0x00000078 0x00000000 new         N       N    ??(00000)::??
000298 0x10F134C8 0x00003960 0x10F134B8 0x00003980 0x00000000 new[]       N       N    ??(00000)::??
000328 0x10F33B68 0x00005658 0x10F33B58 0x00005678 0x00000000 new[]       N       N    ??(00000)::??
000080 0x11453BB0 0x0000001C 0x11453BA0 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000078 0x11453C88 0x00000020 0x11453C78 0x00000040 0x00000000 new         N       N    ??(00000)::??
000181 0x20C93CD8 0x00000238 0x20C93CC8 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000229 0x20C93F38 0x0007D820 0x20C93F28 0x0007D840 0x00000000 new[]       N       N    ??(00000)::??
000127 0x116E3F90 0x00035FD0 0x116E3F80 0x00035FF0 0x00000000 new[]       N       N    ??(00000)::??
000337 0x1B034018 0x0007D0AB 0x1B034008 0x0007D0CB 0x00000000 new[]       N       N    ??(00000)::??
000248 0x014A4348 0x000000D4 0x014A4338 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000334 0x1AE849F0 0x00007B98 0x1AE849E0 0x00007BB8 0x00003990 new[]       N       N    ??(00000)::??
000103 0x11594A88 0x00000050 0x11594A78 0x00000070 0x0000000C new         N       N    ??(00000)::??
000282 0x1B384EE8 0x000000D4 0x1B384ED8 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000208 0x1F5A5030 0x001E58DE 0x1F5A5020 0x001E58FE 0x00000000 new[]       N       N    ??(00000)::??
000162 0x1D495030 0x002A2280 0x1D495020 0x002A22A0 0x00269FA0 new[]       N       N    ??(00000)::??
000263 0x1B265570 0x00000FF0 0x1B265560 0x00001010 0x00000000 new[]       N       N    ??(00000)::??
000231 0x210B6030 0x00331980 0x210B6020 0x003319A0 0x002ED760 new[]       N       N    ??(00000)::??
000266 0x1B2862D0 0x00002060 0x1B2862C0 0x00002080 0x00000AF0 new[]       N       N    ??(00000)::??
000264 0x207264A8 0x00001068 0x20726498 0x00001088 0x00000000 new[]       N       N    ??(00000)::??
000268 0x1CBD7030 0x0017F4D5 0x1CBD7020 0x0017F4F5 0x00000000 new[]       N       N    ??(00000)::??
000230 0x1F797030 0x000CC660 0x1F797020 0x000CC680 0x00000000 new[]       N       N    ??(00000)::??
000076 0x112E7250 0x000000D4 0x112E7240 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000303 0x1AE77388 0x00002EEE 0x1AE77378 0x00002F0E 0x00000000 new[]       N       N    ??(00000)::??
000371 0x1B117648 0x00038215 0x1B117638 0x00038235 0x00000000 new[]       N       N    ??(00000)::??
000368 0x23598030 0x003EBB00 0x23598020 0x003EBB20 0x003980C4 new[]       N       N    ??(00000)::??
000191 0x04508030 0x000CF7E0 0x04508020 0x000CF800 0x00000000 new[]       N       N    ??(00000)::??
000131 0x03A38030 0x00830591 0x03A38020 0x008305B1 0x00000000 new[]       N       N    ??(00000)::??
000183 0x10C48050 0x00000030 0x10C48040 0x00000050 0x00000000 new         N       N    ??(00000)::??
000344 0x10C480A8 0x00000030 0x10C48098 0x00000050 0x0000000C new         N       N    ??(00000)::??
000075 0x10C481B0 0x0000002C 0x10C481A0 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000204 0x10C48208 0x00000030 0x10C481F8 0x00000050 0x0000000C new         N       N    ??(00000)::??
000206 0x10C48260 0x00000030 0x10C48250 0x00000050 0x0000000C new         N       N    ??(00000)::??
000213 0x10C48310 0x0000002C 0x10C48300 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000109 0x10C483C0 0x0000002C 0x10C483B0 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000113 0x10C484C8 0x00000030 0x10C484B8 0x00000050 0x00000000 new         N       N    ??(00000)::??
000251 0x10C48578 0x00000030 0x10C48568 0x00000050 0x00000000 new         N       N    ??(00000)::??
000179 0x10C485D0 0x0000002C 0x10C485C0 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000079 0x10C48628 0x00000030 0x10C48618 0x00000050 0x00000000 new         N       N    ??(00000)::??
000217 0x10C48680 0x00000030 0x10C48670 0x00000050 0x00000000 new         N       N    ??(00000)::??
000136 0x10C48730 0x00000030 0x10C48720 0x00000050 0x00000000 new         N       N    ??(00000)::??
000170 0x10C48788 0x00000030 0x10C48778 0x00000050 0x0000000C new         N       N    ??(00000)::??
000138 0x10C487E0 0x00000030 0x10C487D0 0x00000050 0x00000000 new         N       N    ??(00000)::??
000144 0x10C48838 0x0000002C 0x10C48828 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000172 0x10C48890 0x00000030 0x10C48880 0x00000050 0x0000000C new         N       N    ??(00000)::??
000180 0x10F28988 0x000000D4 0x10F28978 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000148 0x10C48998 0x00000030 0x10C48988 0x00000050 0x00000000 new         N       N    ??(00000)::??
000332 0x1AE689C0 0x00005658 0x1AE689B0 0x00005678 0x00000000 new[]       N       N    ??(00000)::??
000247 0x10C489F0 0x0000002C 0x10C489E0 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000343 0x10C48A48 0x00000030 0x10C48A38 0x00000050 0x00000004 new         N       N    ??(00000)::??
000285 0x10C48B50 0x00000030 0x10C48B40 0x00000050 0x00000000 new         N       N    ??(00000)::??
000350 0x10C48D60 0x0000002C 0x10C48D50 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000342 0x10C48DB8 0x00000030 0x10C48DA8 0x00000050 0x0000000C new         N       N    ??(00000)::??
000239 0x10C48E10 0x00000030 0x10C48E00 0x00000050 0x0000000C new         N       N    ??(00000)::??
000241 0x10C48E68 0x00000030 0x10C48E58 0x00000050 0x0000000C new         N       N    ??(00000)::??
000316 0x10C48EC0 0x0000002C 0x10C48EB0 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000320 0x10C48F18 0x00000030 0x10C48F08 0x00000050 0x00000000 new         N       N    ??(00000)::??
000354 0x10C48F70 0x00000030 0x10C48F60 0x00000050 0x00000000 new         N       N    ??(00000)::??
000281 0x10C48FC8 0x0000002C 0x10C48FB8 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000367 0x1D2F9030 0x000FAEC0 0x1D2F9020 0x000FAEE0 0x00000000 new[]       N       N    ??(00000)::??
000346 0x045E9030 0x0008C02C 0x045E9020 0x0008C04C 0x00000000 new[]       N       N    ??(00000)::??
000194 0x1B319030 0x0006B940 0x1B319020 0x0006B960 0x00000000 new[]       N       N    ??(00000)::??
000165 0x1C719030 0x001A4BD1 0x1C719020 0x001A4BF1 0x00000000 new[]       N       N    ??(00000)::??
000157 0x04279030 0x000A88A0 0x04279020 0x000A88C0 0x00000000 new[]       N       N    ??(00000)::??
000140 0x1BC49030 0x009480E4 0x1BC49020 0x00948104 0x00000000 new[]       N       N    ??(00000)::??
000145 0x10F299B8 0x000000D4 0x10F299A8 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000093 0x10F29AC8 0x00000CC0 0x10F29AB8 0x00000CE0 0x00000BB8 new[]       N       N    ??(00000)::??
000007 0x01479CD8 0x00000238 0x01479CC8 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000174 0x1C9DA030 0x001E58DE 0x1C9DA020 0x001E58FE 0x00000000 new[]       N       N    ??(00000)::??
