 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  01/26/2024 15:34:13                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


192 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000280 0x108D2168 0x00000140 0x108D2158 0x00000160 0x00000018 new         N       N    ??(00000)::??
000080 0x10942228 0x0000001C 0x10942218 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000112 0x10942348 0x00000020 0x10942338 0x00000040 0x00000000 new         N       N    ??(00000)::??
000331 0x1ABC2470 0x00002538 0x1ABC2460 0x00002558 0x00000000 new[]       N       N    ??(00000)::??
000078 0x109425D0 0x00000020 0x109425C0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000114 0x109426A8 0x0000001C 0x10942698 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000282 0x1AB429D0 0x000000D4 0x1AB429C0 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000102 0x10942F60 0x00000020 0x10942F50 0x00000040 0x00000000 new         N       N    ??(00000)::??
000366 0x1A8C3010 0x00075F30 0x1A8C3000 0x00075F50 0x00000000 new[]       N       N    ??(00000)::??
000234 0x1F7F3030 0x001A4BD1 0x1F7F3020 0x001A4BF1 0x00000000 new[]       N       N    ??(00000)::??
000127 0x11113DB8 0x00035FD0 0x11113DA8 0x00035FF0 0x00000000 new[]       N       N    ??(00000)::??
000232 0x1F254030 0x00149E88 0x1F254020 0x00149EA8 0x00088440 new[]       N       N    ??(00000)::??
000174 0x1E164030 0x001E58DE 0x1E164020 0x001E58FE 0x00000000 new[]       N       N    ??(00000)::??
000328 0x11174A88 0x00005658 0x11174A78 0x00005678 0x00000000 new[]       N       N    ??(00000)::??
000318 0x1B4E4E80 0x00000238 0x1B4E4E70 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000195 0x1C295030 0x000CF7E0 0x1C295020 0x000CF800 0x00000000 new[]       N       N    ??(00000)::??
000260 0x1A665748 0x00001068 0x1A665738 0x00001088 0x00000000 new[]       N       N    ??(00000)::??
000312 0x206F5950 0x000019DC 0x206F5940 0x000019FC 0x00000000 new[]       N       N    ??(00000)::??
000140 0x1B526030 0x009480E4 0x1B526020 0x00948104 0x00000000 new[]       N       N    ??(00000)::??
000147 0x108C69F8 0x00000020 0x108C69E8 0x00000040 0x00000000 new         N       N    ??(00000)::??
000250 0x108C6AD0 0x00000020 0x108C6AC0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000352 0x1B4E6B60 0x00000238 0x1B4E6B50 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000145 0x10956C88 0x000000D4 0x10956C78 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000252 0x108C6D58 0x0000001C 0x108C6D48 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000092 0x10956D88 0x00000330 0x10956D78 0x00000350 0x00000000 new[]       N       N    ??(00000)::??
000273 0x108A6E78 0x00000040 0x108A6E68 0x00000060 0x00000000 new         N       N    ??(00000)::??
000275 0x108A6EE0 0x00000040 0x108A6ED0 0x00000060 0x00000000 new         N       N    ??(00000)::??
000137 0x108C6F08 0x00000020 0x108C6EF8 0x00000040 0x00000000 new         N       N    ??(00000)::??
000298 0x1ABA6F90 0x00003960 0x1ABA6F80 0x00003980 0x00000000 new[]       N       N    ??(00000)::??
000163 0x12667030 0x000FCCF8 0x12667020 0x000FCD18 0x000705C0 new[]       N       N    ??(00000)::??
000149 0x108C70B8 0x0000001C 0x108C70A8 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000360 0x0FC87500 0x00000018 0x0FC874F0 0x00000038 0x00000000 new         N       N    ??(00000)::??
000291 0x0FC87600 0x00000018 0x0FC875F0 0x00000038 0x00000000 new         N       N    ??(00000)::??
000110 0x10957780 0x000000D4 0x10957770 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000303 0x1B507838 0x00002EEE 0x1B507828 0x00002F0E 0x00000000 new[]       N       N    ??(00000)::??
000180 0x10957880 0x000000D4 0x10957870 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000189 0x0FC878C0 0x00000018 0x0FC878B0 0x00000038 0x00000000 new         N       N    ??(00000)::??
000257 0x0FC87900 0x00000018 0x0FC878F0 0x00000038 0x00000000 new         N       N    ??(00000)::??
000240 0x108C7970 0x00000020 0x108C7960 0x00000040 0x00000000 new         N       N    ??(00000)::??
000223 0x0FC87980 0x00000018 0x0FC87970 0x00000038 0x00000000 new         N       N    ??(00000)::??
000154 0x0FC87C40 0x00000018 0x0FC87C30 0x00000038 0x00000000 new         N       N    ??(00000)::??
000119 0x0FC87C80 0x00000018 0x0FC87C70 0x00000038 0x00000000 new         N       N    ??(00000)::??
000326 0x0FC87CC0 0x00000018 0x0FC87CB0 0x00000038 0x00000000 new         N       N    ??(00000)::??
000107 0x10957DA8 0x00000058 0x10957D98 0x00000078 0x00000000 new         N       N    ??(00000)::??
000129 0x1A598028 0x00065918 0x1A598018 0x00065938 0x00023FE0 new[]       N       N    ??(00000)::??
000368 0x22D58030 0x003EBB00 0x22D58020 0x003EBB20 0x003980C4 new[]       N       N    ??(00000)::??
000196 0x1E358030 0x0033DF80 0x1E358020 0x0033DFA0 0x002F8CE0 new[]       N       N    ??(00000)::??
000314 0x10958128 0x00000058 0x10958118 0x00000078 0x00000000 new         N       N    ??(00000)::??
000142 0x10958228 0x00000058 0x10958218 0x00000078 0x00000000 new         N       N    ??(00000)::??
000177 0x109582A8 0x00000058 0x10958298 0x00000078 0x00000000 new         N       N    ??(00000)::??
000279 0x10958328 0x00000058 0x10958318 0x00000078 0x00000000 new         N       N    ??(00000)::??
000085 0x0FC88380 0x00000018 0x0FC88370 0x00000038 0x00000000 new         N       N    ??(00000)::??
000211 0x10958628 0x00000058 0x10958618 0x00000078 0x00000000 new         N       N    ??(00000)::??
000348 0x10958728 0x00000058 0x10958718 0x00000078 0x00000000 new         N       N    ??(00000)::??
000245 0x109588A8 0x00000058 0x10958898 0x00000078 0x00000000 new         N       N    ??(00000)::??
000294 0x1A658D38 0x00003960 0x1A658D28 0x00003980 0x00000000 new[]       N       N    ??(00000)::??
000297 0x206F8EC8 0x00002E80 0x206F8EB8 0x00002EA0 0x00000000 new[]       N       N    ??(00000)::??
000367 0x212D9030 0x000FAEC0 0x212D9020 0x000FAEE0 0x00000000 new[]       N       N    ??(00000)::??
000199 0x1E6A9030 0x001A4BD1 0x1E6A9020 0x001A4BF1 0x00000000 new[]       N       N    ??(00000)::??
000161 0x125A9030 0x000A88A0 0x125A9020 0x000A88C0 0x00000000 new[]       N       N    ??(00000)::??
000171 0x10B190C0 0x00000020 0x10B190B0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000182 0x10B19660 0x00000020 0x10B19650 0x00000040 0x00000000 new         N       N    ??(00000)::??
000184 0x10B19810 0x0000001C 0x10B19800 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000205 0x10B19B28 0x00000020 0x10B19B18 0x00000040 0x00000000 new         N       N    ??(00000)::??
000218 0x10B19D20 0x0000001C 0x10B19D10 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000265 0x10669F88 0x000041A0 0x10669F78 0x000041C0 0x00003C30 new[]       N       N    ??(00000)::??
000216 0x10B19FA8 0x00000020 0x10B19F98 0x00000040 0x00000000 new         N       N    ??(00000)::??
000283 0x10EAAA08 0x00000238 0x10EAA9F8 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000181 0x2052ACD8 0x00000238 0x2052ACC8 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000248 0x108DAF08 0x000000D4 0x108DAEF8 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000333 0x10AEAF10 0x00015960 0x10AEAF00 0x00015980 0x00013C98 new[]       N       N    ??(00000)::??
000381 0x2052AF38 0x0003DF31 0x2052AF28 0x0003DF51 0x00000000 new[]       N       N    ??(00000)::??
000128 0x11BBB030 0x000D7F40 0x11BBB020 0x000D7F60 0x000C5F58 new[]       N       N    ??(00000)::??
000249 0x10EAB140 0x00000238 0x10EAB130 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000073 0x10D5BF60 0x00000058 0x10D5BF50 0x00000078 0x00000000 new         N       N    ??(00000)::??
000299 0x110FBFE0 0x0000E580 0x110FBFD0 0x0000E5A0 0x0000D260 new[]       N       N    ??(00000)::??
000363 0x1BE7C030 0x000FAEC0 0x1BE7C020 0x000FAEE0 0x00000000 new[]       N       N    ??(00000)::??
000157 0x124EC030 0x000A88A0 0x124EC020 0x000A88C0 0x00000000 new[]       N       N    ??(00000)::??
000215 0x10EAC218 0x00000238 0x10EAC208 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000353 0x1ABDC8D8 0x00000020 0x1ABDC8C8 0x00000040 0x00000000 new         N       N    ??(00000)::??
000308 0x1ABDCA88 0x00000020 0x1ABDCA78 0x00000040 0x00000000 new         N       N    ??(00000)::??
000309 0x1ABDCB18 0x00000020 0x1ABDCB08 0x00000040 0x00000000 new         N       N    ??(00000)::??
000355 0x1ABDCDE8 0x0000001C 0x1ABDCDD8 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000319 0x1ABDCE30 0x00000020 0x1ABDCE20 0x00000040 0x00000000 new         N       N    ??(00000)::??
000321 0x1ABDCE78 0x0000001C 0x1ABDCE68 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000310 0x1ABDCF50 0x00000020 0x1ABDCF40 0x00000040 0x00000000 new         N       N    ??(00000)::??
000126 0x1A66D018 0x0002F940 0x1A66D008 0x0002F960 0x00000000 new[]       N       N    ??(00000)::??
000371 0x1A7CD028 0x00038215 0x1A7CD018 0x00038235 0x00000000 new[]       N       N    ??(00000)::??
000229 0x2056D020 0x0007D820 0x2056D010 0x0007D840 0x00000000 new[]       N       N    ??(00000)::??
000208 0x1ECAD030 0x001E58DE 0x1ECAD020 0x001E58FE 0x00000000 new[]       N       N    ??(00000)::??
000077 0x1093D710 0x00000238 0x1093D700 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000111 0x1093D970 0x00000238 0x1093D960 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000091 0x1093DC20 0x00000198 0x1093DC10 0x000001B8 0x00000000 new[]       N       N    ??(00000)::??
000264 0x108ADEC0 0x00001068 0x108ADEB0 0x00001088 0x00000000 new[]       N       N    ??(00000)::??
000346 0x1285E030 0x0008C02C 0x1285E020 0x0008C04C 0x00000000 new[]       N       N    ??(00000)::??
000276 0x1094E460 0x00000004 0x1094E450 0x00000024 0x00000000 new         N       N    ??(00000)::??
000224 0x1094E490 0x00000008 0x1094E480 0x00000028 0x00000000 new         N       N    ??(00000)::??
000139 0x1094E4C0 0x00000004 0x1094E4B0 0x00000024 0x00000000 new         N       N    ??(00000)::??
000173 0x1094E550 0x00000004 0x1094E540 0x00000024 0x00000000 new         N       N    ??(00000)::??
000104 0x1094E5B0 0x00000004 0x1094E5A0 0x00000024 0x00000000 new         N       N    ??(00000)::??
000380 0x1094E640 0x00000004 0x1094E630 0x00000024 0x00000000 new         N       N    ??(00000)::??
000311 0x1094E670 0x00000004 0x1094E660 0x00000024 0x00000000 new         N       N    ??(00000)::??
000345 0x1094E700 0x00000004 0x1094E6F0 0x00000024 0x00000000 new         N       N    ??(00000)::??
000284 0x1095E748 0x00000020 0x1095E738 0x00000040 0x00000000 new         N       N    ??(00000)::??
000286 0x1095E790 0x0000001C 0x1095E780 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000242 0x1094E790 0x00000004 0x1094E780 0x00000024 0x00000000 new         N       N    ??(00000)::??
000207 0x1094E7F0 0x00000004 0x1094E7E0 0x00000024 0x00000000 new         N       N    ??(00000)::??
